2018-03-23 00:12:01,811 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.we5.waterplant:Waterplant_V1_0:0.0.1-SNAPSHOT @ E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\pom.xml.
2018-03-23 00:12:12,176 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.we5.waterplant:Waterplant_V1_0:0.0.1-SNAPSHOT @ E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\pom.xml.
2018-03-23 00:12:12,749 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Waterplant_V1_0/src/main/java
2018-03-23 00:12:12,750 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Waterplant_V1_0/src/test/java
2018-03-23 00:12:15,180 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 19 sec
2018-03-23 00:12:21,514 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.we5.waterplant:Waterplant_V1_0:0.0.1-SNAPSHOT @ E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\pom.xml.
2018-03-23 00:12:21,803 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:12:21,827 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:12:21,835 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:12:21,836 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:12:24,015 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Waterplant_V1_0
2018-03-23 00:12:28,212 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:12:28,213 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:12:28,215 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:12:28,216 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:12:46,046 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0
2018-03-23 00:12:46,051 [Worker-0] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2018-03-23 00:12:49,480 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:12:49,480 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:12:49,481 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:12:49,482 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:12:56,796 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0
2018-03-23 00:12:56,797 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2018-03-23 00:14:19,576 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:19,577 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:14:19,579 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:19,579 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:14:25,870 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.we5.waterplant:Waterplant_V1_0:0.0.1-SNAPSHOT @ E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\pom.xml.
2018-03-23 00:14:26,252 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:26,253 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:14:26,254 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:26,255 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:14:33,442 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0
2018-03-23 00:14:33,442 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2018-03-23 00:14:37,345 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:37,346 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:14:37,364 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:37,364 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:14:43,375 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0
2018-03-23 00:14:43,376 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2018-03-23 00:14:53,796 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:53,796 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:14:53,798 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:14:53,799 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:17:32,129 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:32,130 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:17:32,133 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:32,134 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:17:46,834 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:46,835 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:17:46,836 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:46,837 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\test\resources
2018-03-23 00:17:51,136 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Waterplant_V1_0
2018-03-23 00:17:52,385 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-23 00:17:52,386 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\rajesh\Karthi_LatestCode\Waterplant_V1_0-20180323\Waterplant_V1_0\src\main\resources
2018-03-23 00:17:52,387 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
