127.0.0.1 - - [23/Mar/2018:00:15:36 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:39 +0530] "GET /Waterplant_V1_0/ HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:40 +0530] "GET /Waterplant_V1_0/css/HomePageStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:40 +0530] "GET /Waterplant_V1_0/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:40 +0530] "GET /Waterplant_V1_0/external-js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:40 +0530] "GET /Waterplant_V1_0/external-js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:40 +0530] "GET /Waterplant_V1_0/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:40 +0530] "GET /Waterplant_V1_0/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:15:40 +0530] "GET /Waterplant_V1_0/images/21_2_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:16:37 +0530] "GET /Waterplant_V1_0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:16:39 +0530] "GET /Waterplant_V1_0/ HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:16:59 +0530] "POST /Waterplant_V1_0/Login HTTP/1.1" 500 1489
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:03 +0530] "POST /Waterplant_V1_0/Login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:04 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:09 +0530] "GET /Waterplant_V1_0/Dashboard.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:10 +0530] "GET /Waterplant_V1_0/JS/Dashboard.js HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:13 +0530] "GET /Waterplant_V1_0/Menu.jsp HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:14 +0530] "POST /Waterplant_V1_0/Dashboard HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [23/Mar/2018:00:18:21 +0530] "GET /Waterplant_V1_0/Rawmaterial.jsp HTTP/1.1" 200 9243
